"cliente_nome","tipo_transacao_nome","tipo_transacao_valor"
"Solano Castelão","Transferência",24.03
"Laís Belchiorinho","Transferência",24.23
"Rogério Carmona","Transferência",24.50
"Nídia Valerio","Transferência",24.50
"Dorindo Faustino","Transferência",24.60
"Valério Cordeiro","Transferência",25.27
"Lúcio Villégas","Transferência",25.88
"Vitória Picanço","Transferência",26.28
"Ubaldo Cordero","Transferência",26.42
"Gaudêncio Diniz","Transferência",26.48
"Débora Quaresma","Transferência",26.76
"Leônidas   Brandán","Transferência",26.99
"Xavier Ornellas","Transferência",27.16
"Roque Rios","Transferência",28.15
"Bartolomeu Mendoza","Transferência",28.60
"Adalberto Cerqueira","Transferência",29.06
"Tobias Bacelar","Transferência",30.88
"Ubiratã Camello","Transferência",31.29
"Angélico Aragón","Transferência",31.31
"Paulina Quiroga","Transferência",31.57
"Nazaré Quintanilha","Transferência",31.80
"Zenaide Peçanha","Transferência",31.93
"Fernanda Cantanhede","Transferência",32.19
"Poliana Flores","Transferência",32.63
"Virgílio Igrejas","Transferência",32.65
"Alexandre Lancastre","Transferência",32.67
"Benedita Pacheco","Transferência",32.92
"Belmifer Ferrón","Transferência",32.93
"Leonel Rúa","Transferência",33.32
"Belchior Gracia","Transferência",33.36
"Zuleica Larangeira","Transferência",33.63
"Florêncio Palmeira","Transferência",33.89
"Ximena Calheiros","Transferência",33.99
"Otávio Regueira","Transferência",34.54
"Ximeno Valentín","Transferência",34.61
"Paulina Quiroga","Transferência",35.82
"Esperança Quinterno","Transferência",36.36
"Joaquina Aragão","Transferência",37.28
"Ítalo Caires","Transferência",37.96
"Alarico Pino","Transferência",38.19
"Liana Espartero","Transferência",38.76
"Hermenegildo Sosa","Transferência",38.95
"Adelaide Ruela","Transferência",39.43
"Artur Portella","Transferência",39.52
"Tibúrcio Soeiro","Transferência",39.95
"Milu Velásquez","Transferência",40.39
"Adérito Pedrozo","Transferência",40.50
"Sancho Cardin","Transferência",40.79
"Carlos Cambezes","Transferência",41.10
"Ofélia Fróis","Transferência",41.17
"Vítor ou Victor Malheiros","Transferência",41.68
"Deolindo Pinho","Transferência",41.73
"Lázaro Veiga","Transferência",41.73
"Guida Teodoro","Transferência",41.84
"Borrás Monsanto","Transferência",43.38
"Anacleto Vilarim","Transferência",43.60
"Américo Reis","Transferência",43.90
"Umbelina Neves","Transferência",44.00
"Henriqueta Ignacio","Transferência",44.02
"Morgana Ipiranga","Transferência",44.21
"Daniel Alcántara","Transferência",44.27
"Siquenique Taborda","Transferência",44.84
"Fiona Nóbrega","Transferência",44.85
"Pascoal Teles","Transferência",45.06
"Diógenes Pimienta","Transferência",45.27
"Cleusa Rabello","Transferência",45.86
"Amandio Castillo","Transferência",45.91
"Zuleica Larangeira","Transferência",46.35
"Abraão Faro","Transferência",46.42
"Marcos Travassos","Transferência",46.45
"Gabriela Sabala","Transferência",46.89
"Lavínia Peçanha","Transferência",47.19
"Manuela Carvalhosa","Transferência",48.68
"Virgílio Igrejas","Transferência",48.98
"Norberto Canadas","Transferência",49.25
"Mafalda Tristão","Transferência",49.67
"Romano Festas","Transferência",50.12
"Maíra Canário","Transferência",51.04
"Elias Ipanema","Transferência",51.73
"Ludovico Carrasco","Transferência",51.74
"Sabrina SantAnna","Transferência",52.16
"Sidônio   Mena","Transferência",52.31
"Raoni Thamily","Transferência",52.40
"Raquel Guzmán","Transferência",52.43
"Judas Gorjão","Transferência",52.51
"Judas Gorjão","Transferência",53.61
"Lavínia Higuera","Transferência",53.96
"Itiberê Márquez","Transferência",54.07
"Burtira Franca","Transferência",55.21
"Aurélia Foquiço","Transferência",55.22
"Diamantino Becerril","Transferência",55.38
"Julieta Negromonte","Transferência",56.33
"Tibúrcio Soeiro","Transferência",56.42
"Sebastião Jaguaribe","Transferência",56.74
"Mário Malta","Transferência",57.30
"Teodoro Almeyda","Transferência",57.68
"Aarão Valentín","Transferência",57.85
"Evandro Lobo","Transferência",57.86
"Hernâni Bethancout","Transferência",58.74
"Damião Robalo","Transferência",59.24
"Salvador Dias","Transferência",59.40
"Blasco Amorim","Transferência",59.92
"Talita Grillo","Transferência",59.95
"Mécia Soto","Transferência",60.45
"Denise Castello Branco","Transferência",60.87
"Eudes Matos","Transferência",61.57
"Apoena Javier","Transferência",62.61
"Ubiratã Marmou","Transferência",63.37
"Levindo Duarte","Transferência",63.40
"Natividade Maior","Transferência",63.49
"Timóteo Álvarez","Transferência",64.47
"Rudá Blanco","Transferência",64.54
"Lúcio Villégas","Transferência",65.57
"Gregório Pimienta","Transferência",67.21
"Clara Lameira","Transferência",67.72
"Borrás Monsanto","Transferência",68.09
"Eloi Casqueira","Transferência",68.13
"Albino Seixas","Transferência",68.51
"Jaci Pirassununga","Transferência",68.57
"Solano Alvim","Transferência",69.29
"Juliano Rodrigues","Transferência",69.34
"Eduardo Rua","Transferência",69.35
"Gil Magalhães","Transferência",69.65
"Minervina Castelão","Transferência",69.77
"Gonçalo Jesus","Transferência",70.12
"Célia Alancastre","Transferência",70.22
"Mileide Semedo","Transferência",70.63
"Emílio Macena","Transferência",70.69
"Ema Butantã","Transferência",70.96
"Augusto Ramires","Transferência",71.03
"Constantino Guimaraes","Transferência",71.91
"Roseli Bento","Transferência",72.46
"Armando Valle","Transferência",73.40
"Orestes Pegado","Transferência",73.55
"Donato Lacerda","Transferência",73.67
"Verónica Anlicoara","Transferência",73.75
"Almor Camello","Transferência",73.92
"Edgar Gallindo","Transferência",74.09
"Adélia Viana","Transferência",74.54
"Zita Caneira","Transferência",74.94
"Juliano Rodrigues","Transferência",75.10
"Adriano Cambezes","Transferência",75.45
"Josias Viégas","Transferência",75.65
"Alda Benavides","Transferência",76.21
"Artur Olaio","Transferência",76.21
"Jerónimo, Jerônimo Cantanhede","Transferência",76.33
"Delfim Fiestas","Transferência",76.55
"Polibe Rios","Transferência",76.65
"Zubaida Barreto","Transferência",76.86
"Silvério Bento","Transferência",77.06
"Lineu Abasto","Transferência",77.88
"Augusta Prada","Transferência",77.96
"Girão Grillo","Transferência",77.99
"Francisco Henriques","Transferência",78.39
"Andreia Villas Bôas","Transferência",78.57
"Hugo Godói","Transferência",79.03
"Esmeralda Froes","Transferência",79.05
"Angélico Santana","Transferência",80.21
"Quitério Galvão","Transferência",80.21
"Zoe Valentín","Transferência",80.65
"Frederica Azevedo","Transferência",80.84
"Zuleica Valentim","Transferência",81.03
"Laurinda Ferraço","Transferência",81.45
"Maíra Mourinho","Transferência",81.98
"Vanda Moita","Transferência",82.81
"Flor Castilhos","Transferência",83.01
"Floripes Gouveia","Transferência",83.16
"Quintilien Robalo","Transferência",83.95
"Oscar   Fontoura","Transferência",84.04
"Siquenique Teves","Transferência",84.11
"Piedade Cordeiro","Transferência",84.44
"Elba Simão","Transferência",86.83
"Judá Villar","Transferência",86.94
"Mariana Albuquerque","Transferência",87.16
"Quintino Tavares","Transferência",87.99
"Hipólito Velasco","Transferência",88.48
"Luís Rivas","Transferência",88.96
"Amália Soeiro","Transferência",89.16
"Manuel Souto","Transferência",89.32
"Ulrico Cysneiros","Transferência",90.53
"Godinho ou Godim Felgueiras","Transferência",90.64
"Flor Leite","Transferência",90.68
"Ximeno Holanda","Transferência",91.03
"Zacarias Varela","Transferência",91.19
"Aline Braga","Transferência",91.48
"Corina Uchoa","Transferência",91.77
"Remo Avelar","Transferência",91.87
"Noel Cipriano","Transferência",92.46
"Denise Bogalho","Transferência",93.80
"Brás Beserra","Transferência",94.12
"Romão Collares","Transferência",94.29
"Gonçalo Jesus","Transferência",94.39
"Bernardete Pequeno","Transferência",94.85
"Leonel Rúa","Transferência",94.89
"Raquel Guzmán","Transferência",95.06
"Floripes Vargas","Transferência",95.06
"Susana Noguera","Transferência",95.19
"Augusto Curado","Transferência",95.26
"Leonor Garcia","Transferência",95.86
"Abigail Belém","Transferência",96.34
"Flamínia Valentín","Transferência",96.43
"Carlos Cairu","Transferência",97.04
"Alípio Canela","Transferência",97.08
"Ofélia Cerveira","Transferência",97.80
"Olívia Goes","Transferência",98.23
"Ramiro Viégas","Transferência",98.58
"Godofredo Noite","Transferência",98.61
"Iberê Siqueira","Transferência",98.85
"Quintiliano Vieyra","Transferência",99.09
"Jaime Souto Maior","Transferência",99.12
"Xênia   Damazio","Transferência",99.16
"Alexandra Rebimbas","Transferência",100.09
"Timóteo Doutel","Transferência",100.39
"Ismael Uchoa","Transferência",100.50
"Palmiro Neres","Empréstimo",0.02
"Nazaré Quintanilha","Empréstimo",0.04
"Adérito Pedrozo","Empréstimo",0.08
"Leopoldina Varanda","Empréstimo",0.09
"Diamantino Becerril","Empréstimo",0.19
"Zuleica Larangeira","Empréstimo",0.20
"Roberta Guerrero","Empréstimo",0.24
"Gabriela Anjos","Empréstimo",0.28
"Roseli Salomão","Empréstimo",0.34
"Mileide Semedo","Empréstimo",0.39
"Isidro Caminha","Empréstimo",0.41
"Pascoal Teles","Empréstimo",0.48
"Mariana Albuquerque","Empréstimo",0.50
"Bernardete Frota","Empréstimo",0.53
"Tália Guedelha","Empréstimo",0.54
"Quintiliano Peláez","Empréstimo",0.71
"Eurico Santos","Empréstimo",0.74
"Luís Rivas","Empréstimo",0.76
"Jandira Castaño","Empréstimo",0.78
"Aniano Núñez","Empréstimo",0.79
"Rosalinda Damazio","Empréstimo",0.82
"Natacha Vásquez","Empréstimo",0.83
"Alarico Tibiriçá","Empréstimo",0.83
"Eduardo Rua","Empréstimo",0.88
"Vicente Quintela","Empréstimo",0.89
"Simone Nobre","Empréstimo",0.89
"Floripes Vargas","Empréstimo",0.89
"Cora Cavadas","Empréstimo",0.99
"Eudes Matos","Empréstimo",0.99
"Bartolomeu Mendoza","Empréstimo",1.02
"Glauco Queirós","Empréstimo",1.03
"Inês Carvalhais","Empréstimo",1.05
"Teresina Cervera","Empréstimo",1.10
"Patrícia Meira","Empréstimo",1.14
"Raquel Guzmán","Empréstimo",1.17
"Nazaré Quintanilha","Empréstimo",1.19
"Luzia Rivas","Empréstimo",1.20
"Gaudêncio Tavares","Empréstimo",1.21
"Geraldo Meneses","Empréstimo",1.21
"Tobias Bacelar","Empréstimo",1.29
"Guilherme Sacadura","Empréstimo",1.31
"Inês Granjeiro","Empréstimo",1.31
"Sebastião Guimaraes","Empréstimo",1.33
"Fausto Losada","Empréstimo",1.35
"Filipe Quinzeiro","Empréstimo",1.37
"Artur Portella","Empréstimo",1.42
"Eloi Casqueira","Empréstimo",1.43
"Leonir Cyrne","Empréstimo",1.51
"Jacir Félix","Empréstimo",1.53
"Laís Belchiorinho","Empréstimo",1.58
"Catarino Boaventura","Empréstimo",1.62
"João Rebello","Empréstimo",1.63
"Amália Soeiro","Empréstimo",1.66
"Félix Thomé","Empréstimo",1.67
"Raoni Thamily","Empréstimo",1.71
"Flor Castilhos","Empréstimo",1.71
"Marcos Lemes","Empréstimo",1.77
"Frederica Freitas","Empréstimo",1.91
"Lavínia Higuera","Empréstimo",1.92
"Paulina Quiroga","Empréstimo",1.92
"Nicolau Barcellos","Empréstimo",1.99
"Virgílio Igrejas","Empréstimo",2.06
"Solano Castelão","Empréstimo",2.11
"Florbela Ferraz","Empréstimo",2.12
"Aires Falcão","Empréstimo",2.13
"Verónica Guedes","Empréstimo",2.14
"Rosaura Caldas","Empréstimo",2.15
"Godinho ou Godim Felgueiras","Empréstimo",2.19
"Odete Taborda","Empréstimo",2.21
"Brígida Aveiro","Empréstimo",2.22
"Aline Braga","Débito",0.05
"Adélia Cezar","Débito",0.32
"Belmifer Ferrón","Débito",0.46
"Clarindo Mendonça","Débito",0.63
"Diógenes Novaes","Débito",0.69
"Cristiano Quinteiro","Débito",0.88
"Godofredo Noite","Débito",1.17
"Gil Estrada","Débito",1.38
"Aniano Núñez","Débito",1.62
"Anita Alcaide","Débito",1.71
"Andreia Villas Bôas","Débito",1.77
"Fábio Villaverde","Débito",1.96
"Marlene Pirajá","Débito",2.07
"Virgínia Baptista","Débito",2.16
"Gonçalo Jesus","Débito",2.18
"Sancho Cardin","Débito",2.38
"Laurinda Ferraço","Débito",2.50
"Clementina Gabeira","Débito",2.52
"Paulina Quiroga","Débito",2.52
"Guálter, Walter Cerqueira","Débito",2.66
"Paulina Quiroga","Débito",2.95
"Valdeci Figueiró","Débito",3.01
"Flora Murtinho","Débito",3.08
"Adérito Pedrozo","Débito",3.11
"Gonçalo García","Débito",3.15
"Vicente Quintela","Débito",3.18
"Laís Belchiorinho","Débito",3.26
"Raoni Thamily","Débito",3.58
"Laís Holanda","Débito",3.58
"Sancho Cardin","Débito",3.63
"Irene Mortágua","Débito",3.65
"Ginéculo Pinho","Débito",3.68
"Ismael Valverde","Débito",3.83
"Geraldo Meneses","Débito",4.30
"Xisto Castro","Débito",4.33
"Bernardo Guterres","Débito",4.40
"Eudes Matos","Débito",4.57
"Jacir Félix","Débito",4.57
"Rufus Fróis","Débito",4.71
"Honório Sobreira","Débito",4.78
"Timóteo Álvarez","Débito",4.79
"Ximeno Holanda","Débito",4.82
"Anacleto Vilarim","Débito",4.83
"Flor Castilhos","Débito",4.92
"Isidro Caminha","Débito",5.22
"Delfim Fiestas","Débito",5.28
"Ludovico Carrasco","Débito",5.29
"Dirceu Peláez","Débito",5.42
"Bernardete Pequeno","Débito",5.48
"Lúcio Rebouças","Débito",5.55
"Nazaré Quintanilha","Débito",5.85
"Cesário Brião","Débito",5.92
"Alberta Amaro","Débito",6.31
"Eurico Santos","Débito",6.31
"Palmira Foquiço","Débito",6.34
"Mário Malta","Débito",6.43
"Cleusa Rabello","Débito",6.60
"Rosalinda Damazio","Débito",6.71
"Solano Castelão","Débito",6.72
"Adosindo Suaçuna","Débito",6.77
"Carine Beserril","Débito",6.93
"Ítalo Cysneiros","Débito",7.38
"Danilo Caminha","Débito",7.41
"Ubaldo Cordero","Débito",7.59
"Judas Gorjão","Débito",7.71
"Diogo Ramírez","Débito",7.81
"Edite Guaraná","Débito",7.87
"Simeão Simões","Débito",7.91
"Balduíno Grilo","Débito",7.98
"Roque Rios","Débito",8.28
"Afonso Bahía","Débito",8.44
"Gláuber Azenha","Débito",8.53
"Amália Vilaça","Débito",8.57
"Albino Seixas","Débito",8.70
"Ramiro Viégas","Débito",8.78
"Célia Rufino","Débito",8.86
"Flamínia Valentín","Débito",9.28
"Alberto Caneira","Débito",9.51
"Bartolomeu Mendoza","Débito",9.52
"Verónica Anlicoara","Débito",9.70
"Maíra Canário","Débito",9.75
"Morgana Ipiranga","Débito",9.81
"Alarico Pino","Débito",9.82
"Frutuoso Neres","Débito",9.86
"Guilherme Sacadura","Débito",9.90
"Délia Valladares","Débito",9.99
"Luís Rivas","Débito",10.06
"Nicolau Barcellos","Débito",10.12
"Armanda Malheiro","Débito",10.15
"Veríssimo Sobreira","Débito",10.39
"Daniel Alcántara","Débito",10.41
"Ildefonso Castellano","Débito",10.76
"Teodorico Castelão","Débito",10.81
"Gabriela Anjos","Débito",10.82
"Milu Loureiro","Débito",10.99
"Salvador Dias","Débito",11.08
"Ubirajara Siqueira","Débito",11.16
"Boaventura Ataí","Débito",11.81
"Elvira Vidal","Débito",11.85
"Aarão Valentín","Débito",11.94
"Quirina Colares","Débito",12.22
"Políbio Campelo","Débito",12.65
"Angélico Aragón","Débito",13.01
"Emílio Morais","Débito",13.25
"Mateus Gómez","Débito",13.25
"Melinda Carvalhal","Débito",13.33
"Ivete Pardo","Débito",13.58
"Jerónimo, Jerônimo Cantanhede","Débito",13.64
"Cristiana Téllez","Débito",13.81
"Janaína Collares","Débito",13.96
"Heriberto Murtinho","Débito",14.03
"Corina Uchoa","Débito",14.12
"Eloi Casqueira","Débito",14.20
"Elvira Guimarães","Débito",14.21
"Gaudêncio Diniz","Débito",14.58
"Estêvão Mattos","Débito",14.59
"Benedita Portugal","Débito",14.59
"Zacarias Varela","Débito",14.80
"Natividade Maior","Débito",14.95
"Hermenegildo Sosa","Débito",14.98
"Alceste Felgueiras","Débito",15.10
"Caím Quintão","Débito",15.25
"Lineu Abasto","Débito",15.28
"Zuleica Valentim","Débito",15.28
"Xavier Ornellas","Débito",15.62
"Ovídio Azenha","Débito",15.70
"Talita Grillo","Débito",15.92
"Rudi Coelho","Débito",15.93
"Amandio Castillo","Débito",16.05
"Alexandre Lancastre","Débito",16.07
"Beatriz Pari","Débito",16.24
"Ilídio Carmona","Débito",16.42
"Milu Loureiro","Débito",16.44
"Romão Collares","Débito",16.49
"Nestor Castelbranco","Débito",16.53
"Almor Camello","Débito",16.70
"Sebastião Guimaraes","Débito",16.74
"Odete Carvajal","Débito",16.77
"Artur Olaio","Débito",16.89
"Timóteo Doutel","Débito",16.98
"Luísa Gonçalves","Débito",16.99
"Diógenes Pimienta","Débito",17.04
"Sonás Ríos","Débito",17.30
"Xavier Ornellas","Débito",17.34
"Tobias Bacelar","Débito",17.51
"Ximena Calheiros","Débito",17.53
"Odete Taborda","Débito",17.83
"Zubaida Barreto","Débito",17.84
"Flávio Villas Boas","Débito",17.98
"Raquel Guzmán","Débito",18.12
"Manuel Souto","Débito",18.23
"Sandra Silveira","Débito",18.26
"Bernardete Casquero","Débito",18.42
"Angélico Santana","Débito",18.63
"Edgar Gallindo","Débito",18.67
"Mónica Fialho","Débito",18.90
"Milu Carvalheira","Débito",19.30
"Roberta Guerrero","Débito",19.31
"Marcos Travassos","Débito",19.32
"Rômulo   Piñero","Débito",19.34
"Solano Alvim","Débito",19.37
"Ubiratã Camello","Débito",19.39
"Zidane Faro","Débito",19.45
"Alípio Canela","Débito",19.49
"Renan Grande","Débito",19.56
"Teresina Cervera","Débito",19.62
"Astolfo Telles","Débito",19.64
"Filipe Quental","Débito",19.75
"Suniário Souto","Débito",20.39
"Casimiro Granjeia","Débito",20.70
"Ximeno Valentín","Débito",20.73
"Débora Quaresma","Débito",20.93
"Vanda Barbosa","Débito",21.12
"Fernanda Cantanhede","Débito",21.93
"Carine Beserril","Débito",21.97
"Selma Rúa","Débito",22.15
"Romão Collares","Débito",22.37
"Minervina Leal","Débito",22.41
"Maura Capanema","Débito",22.56
"Timóteo Doutel","Débito",22.85
"Denise Bogalho","Débito",23.19
"Ricardina Fuentes","Débito",23.55
"Anita Alcaide","Débito",23.68
"Virgílio Alencar","Débito",23.74
"Liedson Dias","Débito",23.93
"Filena Blanco","Débito",24.16
"Sara Ferrón","Débito",24.26
"Alda Benavides","Débito",24.26
"Belchior Tomé","Débito",24.29
"Florêncio Palmeira","Débito",24.33
"Burtira Franca","Débito",24.34
"Ivete Pardo","Débito",24.38
"Eládio Ferrão","Débito",24.39
"Tibúrcio Soeiro","Débito",24.43
"Floripes Gouveia","Débito",24.79
"Ítalo Caires","Débito",24.80
"Elias Cunha","Débito",24.82
"Elba Simão","Débito",24.96
"Artur Portella","Débito",24.96
"Cauê Caetano","Débito",25.15
"Armando Valle","Débito",25.33
"Mileide Semedo","Débito",25.34
"Ágata Carvalhaes","Débito",25.46
"Paraguaçu Carijó","Débito",25.48
"Palmiro Neres","Débito",25.48
"Guadalupe Albernaz","Débito",25.94
"Esperança Quinterno","Débito",26.04
"Salomão Carijó","Débito",26.10
"Juçara Cabeça de Vaca","Débito",26.14
"Alexandre Carneiro","Débito",26.20
"Solano Alvim","Débito",26.50
"Carlos Cairu","Débito",26.63
"Tércio Quirós","Débito",26.98
"Célia Alancastre","Débito",27.34
"Gisela Caiado","Débito",27.43
"Augusta Prada","Débito",27.44
"Otávio Regueira","Débito",27.59
"Nídia Valerio","Débito",27.64
"Ricardo Garcés","Débito",27.81
"Alzira Semedo","Débito",28.12
"Godinho ou Godim Felgueiras","Débito",28.15
"Ulrico Cysneiros","Débito",28.20
"Tarrataca Thomé","Débito",28.58
"Crispim Querino","Débito",28.66
"Gabriela Sabala","Débito",28.78
"Emílio Macena","Débito",28.79
"Tomé Cezimbra","Débito",28.81
"Jamari Naves","Débito",28.82
"Belchior Tomé","Débito",28.94
"Célia Guerreiro","Débito",29.03
"Teodorico Nazário","Débito",29.06
"Laís Belchiorinho","Débito",29.12
"Renan Grande","Débito",29.25
"Neusa Castella","Débito",29.35
"Lázaro Veiga","Débito",29.42
"Jacinto Galvão","Débito",29.53
"Hipólito Velasco","Débito",29.54
"Leopoldina Varanda","Débito",29.68
"Arnaldo Estrela","Débito",29.87
"Rosalinda Damazio","Débito",29.89
"Itiberê Márquez","Débito",29.91
"Liana Espartero","Débito",29.99
"Rudá Blanco","Débito",30.11
"Ruca Boaventura","Débito",30.39
"Susana Noguera","Débito",30.39
"Remo Avelar","Débito",30.53
"Constantino Guimaraes","Débito",30.64
"Polibe Rios","Débito",30.70
"Noel Cipriano","Débito",30.77
"Luciana Câmara","Débito",31.10
"Vitória Picanço","Débito",31.33
"Minervina Castelão","Débito",31.72
"Frederica Freitas","Débito",31.72
"Zulmira Toledo","Débito",31.79
"Pascoal Teles","Débito",32.05
"Eduardo Aguiar","Débito",32.50
"Eduardo Rua","Débito",32.54
"Damião Robalo","Débito",32.65
"Paraguaçu Louzada","Débito",33.18
"Caetano Gentil","Débito",33.21
"Clara Lameira","Débito",33.44
"Lavínia Higuera","Débito",33.90
"Zita Caneira","Débito",33.93
"Tália Guedelha","Débito",34.02
"Norberto Canadas","Débito",34.04
"Alarico Tibiriçá","Débito",34.05
"Henrique Pinhal","Débito",34.08
"Collin Capucho","Débito",34.12
"Dália Villégas","Débito",34.17
"Susana Fragoso","Débito",34.36
"Simone Nobre","Débito",34.42
"Ítala Collares","Débito",34.43
"Marli Gusmão","Débito",34.64
"Julieta Negromonte","Débito",34.69
"Doroteia Souza","Débito",34.70
"Valentina Bivar","Débito",34.93
"Gilda Franca","Débito",35.02
"Daniela Rijo","Débito",35.03
"Vanda Moita","Débito",35.12
"Alda Benavides","Débito",35.31
"Frederica Azevedo","Débito",35.31
"Joaquina Aragão","Débito",35.31
"Inês Carvalhais","Débito",35.35
"Josias Viégas","Débito",35.52
"Márcia Caneira","Débito",35.59
"Célia Rufino","Débito",35.67
"Evandro Lobo","Débito",35.79
"Lúcio Villégas","Débito",36.44
"Tibúrcio Montero","Débito",36.54
"Gláucia Salguero","Débito",36.75
"Alcides Borba","Débito",36.80
"Maíra Mourinho","Débito",36.80
"Fabíola Belchior","Débito",36.92
"Verónica Guedes","Débito",36.93
"Mécia Soto","Débito",37.04
"Sílvia Estrella","Débito",37.08
"Greice Rico","Débito",37.13
"Juçara Cabeça de Vaca","Débito",37.19
"Emílio Vega","Débito",37.34
"Judá Villar","Débito",37.40
"Palmiro Freitas","Débito",37.42
"Teodoro Almeyda","Débito",37.61
"Ubiratã Marmou","Débito",37.93
"Sebastião Jaguaribe","Débito",38.07
"Vasco Fuentes","Débito",38.46
"Mariano Albuquerque","Débito",38.82
"Elias Ipanema","Débito",38.93
"Caím Quintão","Débito",39.42
"Aurélia Noronha","Débito",39.63
"Susana Noguera","Débito",39.70
"Roseli Salomão","Débito",39.76
"Iberê Siqueira","Débito",39.88
"Rogério Carmona","Débito",40.17
"Augusto Curado","Débito",40.29
"Hermenegildo Sosa","Débito",40.32
"Gilda Franca","Débito",40.32
"Antónia Cidreira","Débito",40.36
"Júlia Quintela","Débito",40.50
"Emídio Veríssimo","Débito",40.53
"Zuleica Larangeira","Débito",40.66
"Nivaldo Ramírez","Crédito",0.29
"Clementina Gabeira","Crédito",0.33
"Diógenes Novaes","Crédito",0.48
"Timóteo Doutel","Crédito",1.25
"Guida Teodoro","Crédito",1.29
"Deolindo Pinho","Crédito",1.30
"Cristiano Quinteiro","Crédito",1.46
"Clarisse Paula","Crédito",1.84
"Remo Avelar","Crédito",2.18
"Guadalupe Macedo","Crédito",2.41
"Leonir Cyrne","Crédito",2.52
"Lavínia Peçanha","Crédito",2.85
"Gabriel Raminhos","Crédito",2.90
"Ismael Valverde","Crédito",3.26
"Odete Carvajal","Crédito",3.74
"Mécia Soto","Crédito",3.79
"Gisela Azenha","Crédito",3.82
"Bartolomeu Mendoza","Crédito",3.84
"Leonor Garcia","Crédito",4.02
"Siquenique Taborda","Crédito",4.04
"Ramiro Viégas","Crédito",4.30
"Maura Capanema","Crédito",4.38
"Godinho ou Godim Felgueiras","Crédito",4.50
"Angélico Aragón","Crédito",4.50
"Ricardo Garcés","Crédito",4.57
"Juliano Rodrigues","Crédito",4.69
"Vítor ou Victor Malheiros","Crédito",4.76
"Fiona Nóbrega","Crédito",4.98
"Daniel Alcántara","Crédito",5.34
"Donato Lacerda","Crédito",5.60
"Leopoldina Varanda","Crédito",5.80
"Sílvia Estrella","Crédito",5.84
"António Cysneiros","Crédito",6.07
"Raquel Guzmán","Crédito",6.19
"Polibe Rios","Crédito",6.29
"Roberta Assumpção","Crédito",6.37
"Juçara Cabeça de Vaca","Crédito",6.42
"Norberto Canadas","Crédito",6.59
"Ismael Uchoa","Crédito",6.75
"Alexandre Lancastre","Crédito",6.81
"Manuela Carvalhosa","Crédito",7.13
"Henrique Pinhal","Crédito",7.13
"Selma Rúa","Crédito",7.19
"Antónia Cidreira","Crédito",7.20
"Dirceu Peláez","Crédito",7.21
"Deise Graça","Crédito",7.57
"Ítalo Caires","Crédito",7.69
"Zulmira Toledo","Crédito",7.75
"Denise Bogalho","Crédito",7.99
"Alda Benavides","Crédito",7.99
"Teodorico Castelão","Crédito",8.32
