"nome","nome-2","numero","digito","nome-3","id","nome-4"
"Banco Santander (Brasil) S.A.","Agência número 29 do banco Banco Santander (Brasil) S.A.",267312285,4,"Ivete Pardo",27,"Transferência"
"Caixa Econômica Federal","Agência número 76 do banco Caixa Econômica Federal",177198655,5,"Salomão Carijó",28,"Transferência"
"Caixa Econômica Federal","Agência número 96 do banco Caixa Econômica Federal",392769798,8,"Eduarda Corvelo",29,"Transferência"
"Banco do Brasil S.A.","Agência número 5 do banco Banco do Brasil S.A.",15140549,8,"Miriam Tévez",30,"Transferência"
"Banco do Brasil S.A.","Agência número 45 do banco Banco do Brasil S.A.",224478822,2,"Quitéria Vilarim",31,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 13 do banco Banco Santander (Brasil) S.A.",29777566,6,"Anita Alcaide",32,"Transferência"
"Caixa Econômica Federal","Agência número 98 do banco Caixa Econômica Federal",332447931,6,"Roseli Salomão",33,"Transferência"
"Banco Itaú S.A.","Agência número 29 do banco Banco Itaú S.A.",15769960,4,"Ubirajara Siqueira",34,"Transferência"
"Caixa Econômica Federal","Agência número 33 do banco Caixa Econômica Federal",392493434,6,"Gilda Franca",35,"Transferência"
"Banco Itaú S.A.","Agência número 22 do banco Banco Itaú S.A.",321020135,5,"Xavier Ornellas",36,"Transferência"
"Caixa Econômica Federal","Agência número 32 do banco Caixa Econômica Federal",289928323,8,"Heloísa Pinhal",37,"Transferência"
"Banco Itaú S.A.","Agência número 6 do banco Banco Itaú S.A.",162159371,8,"Mário Malta",38,"Transferência"
"Banco Bradesco S.A.","Agência número 2 do banco Banco Bradesco S.A.",16015656,0,"Luísa Gonçalves",39,"Transferência"
"Banco Itaú S.A.","Agência número 16 do banco Banco Itaú S.A.",308257129,6,"Leonir Cyrne",40,"Transferência"
"Caixa Econômica Federal","Agência número 42 do banco Caixa Econômica Federal",116265008,4,"Ruca Boaventura",41,"Transferência"
"Banco do Brasil S.A.","Agência número 18 do banco Banco do Brasil S.A.",146124300,0,"Zidane Faro",42,"Transferência"
"Caixa Econômica Federal","Agência número 57 do banco Caixa Econômica Federal",331149281,0,"Marcos Lemes",43,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 4 do banco Banco Santander (Brasil) S.A.",323404707,5,"Danilo Caminha",44,"Transferência"
"Banco do Brasil S.A.","Agência número 44 do banco Banco do Brasil S.A.",309470210,6,"Luzia Rivas",45,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 12 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",238033050,3,"Daniela Rijo",46,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 3 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",402204855,1,"Camila Paranaguá",47,"Transferência"
"Banco do Brasil S.A.","Agência número 43 do banco Banco do Brasil S.A.",19183183,7,"Armanda Malheiro",48,"Transferência"
"Caixa Econômica Federal","Agência número 10 do banco Caixa Econômica Federal",174663174,0,"Estefânia Macieira",49,"Transferência"
"Caixa Econômica Federal","Agência número 7 do banco Caixa Econômica Federal",103691016,8,"Gabriela Anjos",50,"Transferência"
"Banco Bradesco S.A.","Agência número 20 do banco Banco Bradesco S.A.",311248511,4,"Gláuber Azenha",51,"Transferência"
"Caixa Econômica Federal","Agência número 50 do banco Caixa Econômica Federal",9758400,2,"Pedro Castelo Branco",52,"Transferência"
"Banco Itaú S.A.","Agência número 25 do banco Banco Itaú S.A.",219131727,3,"Odete Taborda",53,"Transferência"
"Caixa Econômica Federal","Agência número 2 do banco Caixa Econômica Federal",19174386,8,"Timóteo Doutel",54,"Transferência"
"Banco do Brasil S.A.","Agência número 14 do banco Banco do Brasil S.A.",94265006,2,"Emílio Barboza",55,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 4 do banco Banco Santander (Brasil) S.A.",413602655,4,"Deolindo Motta",56,"Transferência"
"Banco Itaú S.A.","Agência número 2 do banco Banco Itaú S.A.",99943025,7,"Selma Rúa",57,"Transferência"
"Caixa Econômica Federal","Agência número 44 do banco Caixa Econômica Federal",162980999,7,"Geraldo Meneses",58,"Transferência"
"Banco do Brasil S.A.","Agência número 9 do banco Banco do Brasil S.A.",402464325,6,"Selma Rúa",59,"Transferência"
"Caixa Econômica Federal","Agência número 59 do banco Caixa Econômica Federal",384760621,4,"Astolfo Telles",60,"Transferência"
"Banco Bradesco S.A.","Agência número 19 do banco Banco Bradesco S.A.",14767465,2,"Vasco Fuentes",61,"Transferência"
"Banco Itaú S.A.","Agência número 34 do banco Banco Itaú S.A.",149514305,8,"Xisto Dornelles",62,"Transferência"
"Banco do Brasil S.A.","Agência número 47 do banco Banco do Brasil S.A.",352794091,5,"Tarrataca Thomé",63,"Transferência"
"Banco do Brasil S.A.","Agência número 40 do banco Banco do Brasil S.A.",243591934,8,"Astolfo Guedes",64,"Transferência"
"Banco do Brasil S.A.","Agência número 42 do banco Banco do Brasil S.A.",224479925,1,"Solano Castelão",65,"Transferência"
"Banco Panamericano S.A.","Agência número 3 do banco Banco Panamericano S.A.",428795214,8,"Laís Belchiorinho",66,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 21 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",238231361,4,"Rogério Carmona",67,"Transferência"
"Banco Votorantim S.A.","Agência número 4 do banco Banco Votorantim S.A.",292888275,0,"Nídia Valerio",68,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 3 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",171793285,4,"Dorindo Faustino",69,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 24 do banco Banco Santander (Brasil) S.A.",412424527,7,"Valério Cordeiro",70,"Transferência"
"Caixa Econômica Federal","Agência número 55 do banco Caixa Econômica Federal",161995280,8,"Lúcio Villégas",71,"Transferência"
"Caixa Econômica Federal","Agência número 15 do banco Caixa Econômica Federal",227768696,8,"Vitória Picanço",72,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 18 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",57900118,8,"Ubaldo Cordero",73,"Transferência"
"Banco Bradesco S.A.","Agência número 21 do banco Banco Bradesco S.A.",246458063,1,"Gaudêncio Diniz",74,"Transferência"
"Caixa Econômica Federal","Agência número 94 do banco Caixa Econômica Federal",26116054,4,"Débora Quaresma",75,"Transferência"
"Caixa Econômica Federal","Agência número 81 do banco Caixa Econômica Federal",14949625,3,"Leônidas   Brandán",76,"Transferência"
"Banco do Brasil S.A.","Agência número 36 do banco Banco do Brasil S.A.",254359402,7,"Xavier Ornellas",77,"Transferência"
"Banco Votorantim S.A.","Agência número 6 do banco Banco Votorantim S.A.",135836582,4,"Roque Rios",78,"Transferência"
"Banco Bradesco S.A.","Agência número 19 do banco Banco Bradesco S.A.",294600697,0,"Bartolomeu Mendoza",79,"Transferência"
"Caixa Econômica Federal","Agência número 39 do banco Caixa Econômica Federal",321331703,6,"Adalberto Cerqueira",80,"Transferência"
"Banco Bradesco S.A.","Agência número 27 do banco Banco Bradesco S.A.",152607205,4,"Tobias Bacelar",81,"Transferência"
"Caixa Econômica Federal","Agência número 39 do banco Caixa Econômica Federal",339694786,1,"Ubiratã Camello",82,"Transferência"
"Banco Panamericano S.A.","Agência número 3 do banco Banco Panamericano S.A.",249749655,5,"Angélico Aragón",83,"Transferência"
"Citibank N.A.","Agência número 6 do banco Citibank N.A.",264454988,2,"Paulina Quiroga",84,"Transferência"
"Caixa Econômica Federal","Agência número 14 do banco Caixa Econômica Federal",205133509,6,"Nazaré Quintanilha",85,"Transferência"
"Caixa Econômica Federal","Agência número 18 do banco Caixa Econômica Federal",26909131,2,"Zenaide Peçanha",86,"Transferência"
"Banco Votorantim S.A.","Agência número 5 do banco Banco Votorantim S.A.",60980709,5,"Fernanda Cantanhede",87,"Transferência"
"Caixa Econômica Federal","Agência número 77 do banco Caixa Econômica Federal",222531385,7,"Poliana Flores",88,"Transferência"
"Caixa Econômica Federal","Agência número 64 do banco Caixa Econômica Federal",41274465,6,"Virgílio Igrejas",89,"Transferência"
"Banco Bradesco S.A.","Agência número 2 do banco Banco Bradesco S.A.",304599744,5,"Alexandre Lancastre",90,"Transferência"
"Banco do Brasil S.A.","Agência número 36 do banco Banco do Brasil S.A.",393292023,4,"Benedita Pacheco",91,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 26 do banco Banco Santander (Brasil) S.A.",412461021,7,"Belmifer Ferrón",92,"Transferência"
"Banco Bradesco S.A.","Agência número 25 do banco Banco Bradesco S.A.",336251546,0,"Leonel Rúa",93,"Transferência"
"Citibank N.A.","Agência número 1 do banco Citibank N.A.",157848874,4,"Belchior Gracia",94,"Transferência"
"Banco Bradesco S.A.","Agência número 15 do banco Banco Bradesco S.A.",341282703,8,"Zuleica Larangeira",95,"Transferência"
"Caixa Econômica Federal","Agência número 89 do banco Caixa Econômica Federal",148739669,5,"Florêncio Palmeira",96,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 6 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",74138712,7,"Ximena Calheiros",97,"Transferência"
"Banco Itaú S.A.","Agência número 29 do banco Banco Itaú S.A.",366490642,2,"Otávio Regueira",98,"Transferência"
"Banco Itaú S.A.","Agência número 8 do banco Banco Itaú S.A.",240285900,7,"Ximeno Valentín",99,"Transferência"
"Caixa Econômica Federal","Agência número 80 do banco Caixa Econômica Federal",181763720,5,"Paulina Quiroga",100,"Transferência"
"Caixa Econômica Federal","Agência número 11 do banco Caixa Econômica Federal",242717839,5,"Esperança Quinterno",101,"Transferência"
"Caixa Econômica Federal","Agência número 7 do banco Caixa Econômica Federal",278629263,4,"Joaquina Aragão",102,"Transferência"
"Banco Itaú S.A.","Agência número 1 do banco Banco Itaú S.A.",430754320,4,"Ítalo Caires",103,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 4 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",81061872,8,"Alarico Pino",104,"Transferência"
"Caixa Econômica Federal","Agência número 83 do banco Caixa Econômica Federal",96295332,5,"Liana Espartero",105,"Transferência"
"Caixa Econômica Federal","Agência número 41 do banco Caixa Econômica Federal",372887850,4,"Hermenegildo Sosa",106,"Transferência"
"Caixa Econômica Federal","Agência número 59 do banco Caixa Econômica Federal",348334224,2,"Adelaide Ruela",107,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 8 do banco Banco Santander (Brasil) S.A.",123157329,3,"Artur Portella",108,"Transferência"
"Citibank N.A.","Agência número 12 do banco Citibank N.A.",188340066,0,"Tibúrcio Soeiro",109,"Transferência"
"Caixa Econômica Federal","Agência número 12 do banco Caixa Econômica Federal",255958283,5,"Milu Velásquez",110,"Transferência"
"Caixa Econômica Federal","Agência número 92 do banco Caixa Econômica Federal",221373266,8,"Adérito Pedrozo",111,"Transferência"
"Banco do Brasil S.A.","Agência número 46 do banco Banco do Brasil S.A.",149882870,8,"Sancho Cardin",112,"Transferência"
"Caixa Econômica Federal","Agência número 58 do banco Caixa Econômica Federal",378367445,2,"Carlos Cambezes",113,"Transferência"
"Banco do Brasil S.A.","Agência número 39 do banco Banco do Brasil S.A.",319852908,3,"Ofélia Fróis",114,"Transferência"
"Banco do Brasil S.A.","Agência número 44 do banco Banco do Brasil S.A.",234700334,4,"Vítor ou Victor Malheiros",115,"Transferência"
"Banco do Brasil S.A.","Agência número 27 do banco Banco do Brasil S.A.",153273940,8,"Deolindo Pinho",116,"Transferência"
"Banco Bradesco S.A.","Agência número 28 do banco Banco Bradesco S.A.",345939483,1,"Lázaro Veiga",117,"Transferência"
"Caixa Econômica Federal","Agência número 65 do banco Caixa Econômica Federal",241144408,8,"Guida Teodoro",118,"Transferência"
"Caixa Econômica Federal","Agência número 46 do banco Caixa Econômica Federal",81820336,2,"Borrás Monsanto",119,"Transferência"
"Caixa Econômica Federal","Agência número 44 do banco Caixa Econômica Federal",329070445,1,"Anacleto Vilarim",120,"Transferência"
"Citibank N.A.","Agência número 7 do banco Citibank N.A.",364294952,0,"Américo Reis",121,"Transferência"
"Banco Panamericano S.A.","Agência número 3 do banco Banco Panamericano S.A.",334786253,4,"Umbelina Neves",122,"Transferência"
"Banco Itaú S.A.","Agência número 20 do banco Banco Itaú S.A.",433631717,7,"Henriqueta Ignacio",123,"Transferência"
"Caixa Econômica Federal","Agência número 28 do banco Caixa Econômica Federal",107717060,1,"Morgana Ipiranga",124,"Transferência"
"Caixa Econômica Federal","Agência número 26 do banco Caixa Econômica Federal",209234587,8,"Daniel Alcántara",125,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 29 do banco Banco Santander (Brasil) S.A.",135452660,5,"Siquenique Taborda",126,"Transferência"
"Caixa Econômica Federal","Agência número 5 do banco Caixa Econômica Federal",2681146,7,"Fiona Nóbrega",127,"Transferência"
"Caixa Econômica Federal","Agência número 32 do banco Caixa Econômica Federal",408421578,4,"Pascoal Teles",128,"Transferência"
"Citibank N.A.","Agência número 13 do banco Citibank N.A.",239033258,0,"Diógenes Pimienta",129,"Transferência"
"Banco Bradesco S.A.","Agência número 24 do banco Banco Bradesco S.A.",308764588,8,"Cleusa Rabello",130,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 11 do banco Banco Santander (Brasil) S.A.",215478290,0,"Amandio Castillo",131,"Transferência"
"Caixa Econômica Federal","Agência número 72 do banco Caixa Econômica Federal",96562416,8,"Zuleica Larangeira",132,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 7 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",194158634,6,"Abraão Faro",133,"Transferência"
"Caixa Econômica Federal","Agência número 15 do banco Caixa Econômica Federal",25338387,5,"Marcos Travassos",134,"Transferência"
"Banco do Brasil S.A.","Agência número 18 do banco Banco do Brasil S.A.",281590938,4,"Gabriela Sabala",135,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 14 do banco Banco Santander (Brasil) S.A.",321871849,5,"Lavínia Peçanha",136,"Transferência"
"Banco Bradesco S.A.","Agência número 16 do banco Banco Bradesco S.A.",131349549,7,"Manuela Carvalhosa",137,"Transferência"
"Banco Votorantim S.A.","Agência número 1 do banco Banco Votorantim S.A.",212415609,0,"Virgílio Igrejas",138,"Transferência"
"Caixa Econômica Federal","Agência número 39 do banco Caixa Econômica Federal",58862980,2,"Norberto Canadas",139,"Transferência"
"Banco do Brasil S.A.","Agência número 3 do banco Banco do Brasil S.A.",198474553,7,"Mafalda Tristão",140,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 20 do banco Banco Santander (Brasil) S.A.",424879800,6,"Romano Festas",141,"Transferência"
"Caixa Econômica Federal","Agência número 86 do banco Caixa Econômica Federal",273638774,5,"Maíra Canário",142,"Transferência"
"Caixa Econômica Federal","Agência número 88 do banco Caixa Econômica Federal",92658814,4,"Elias Ipanema",143,"Transferência"
"Banco Bradesco S.A.","Agência número 22 do banco Banco Bradesco S.A.",392353471,2,"Ludovico Carrasco",144,"Transferência"
"Banco Itaú S.A.","Agência número 20 do banco Banco Itaú S.A.",245051338,3,"Sabrina SantAnna",145,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 12 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",188542592,6,"Sidônio   Mena",146,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 5 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",330794984,6,"Raoni Thamily",147,"Transferência"
"Caixa Econômica Federal","Agência número 68 do banco Caixa Econômica Federal",81705121,3,"Raquel Guzmán",148,"Transferência"
"Caixa Econômica Federal","Agência número 51 do banco Caixa Econômica Federal",8106488,5,"Judas Gorjão",149,"Transferência"
"Caixa Econômica Federal","Agência número 7 do banco Caixa Econômica Federal",57689792,4,"Judas Gorjão",150,"Transferência"
"Banco Bradesco S.A.","Agência número 5 do banco Banco Bradesco S.A.",986103,7,"Lavínia Higuera",151,"Transferência"
"Caixa Econômica Federal","Agência número 47 do banco Caixa Econômica Federal",132822257,7,"Itiberê Márquez",152,"Transferência"
"Banco do Brasil S.A.","Agência número 20 do banco Banco do Brasil S.A.",271352669,7,"Burtira Franca",153,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 3 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",148171067,1,"Aurélia Foquiço",154,"Transferência"
"Banco Bradesco S.A.","Agência número 24 do banco Banco Bradesco S.A.",304560641,2,"Diamantino Becerril",155,"Transferência"
"Caixa Econômica Federal","Agência número 64 do banco Caixa Econômica Federal",21568237,3,"Julieta Negromonte",156,"Transferência"
"Banco Panamericano S.A.","Agência número 2 do banco Banco Panamericano S.A.",282169851,5,"Tibúrcio Soeiro",157,"Transferência"
"Banco Bradesco S.A.","Agência número 17 do banco Banco Bradesco S.A.",157574169,5,"Sebastião Jaguaribe",158,"Transferência"
"Caixa Econômica Federal","Agência número 9 do banco Caixa Econômica Federal",219971673,3,"Mário Malta",159,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 1 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",378889628,6,"Teodoro Almeyda",160,"Transferência"
"Banco do Brasil S.A.","Agência número 23 do banco Banco do Brasil S.A.",431262421,3,"Aarão Valentín",161,"Transferência"
"Citibank N.A.","Agência número 4 do banco Citibank N.A.",305267511,3,"Evandro Lobo",162,"Transferência"
"Caixa Econômica Federal","Agência número 16 do banco Caixa Econômica Federal",85495902,8,"Hernâni Bethancout",163,"Transferência"
"Banco Bradesco S.A.","Agência número 8 do banco Banco Bradesco S.A.",179093455,3,"Damião Robalo",164,"Transferência"
"Banco do Brasil S.A.","Agência número 31 do banco Banco do Brasil S.A.",162401264,7,"Salvador Dias",165,"Transferência"
"Banco Itaú S.A.","Agência número 28 do banco Banco Itaú S.A.",278566345,2,"Blasco Amorim",166,"Transferência"
"Banco do Brasil S.A.","Agência número 5 do banco Banco do Brasil S.A.",225616342,3,"Talita Grillo",167,"Transferência"
"Banco Bradesco S.A.","Agência número 1 do banco Banco Bradesco S.A.",282639475,4,"Mécia Soto",168,"Transferência"
"Banco Itaú S.A.","Agência número 9 do banco Banco Itaú S.A.",254037645,1,"Denise Castello Branco",169,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 21 do banco Banco Santander (Brasil) S.A.",409960,1,"Eudes Matos",170,"Transferência"
"Banco do Brasil S.A.","Agência número 8 do banco Banco do Brasil S.A.",295739455,5,"Apoena Javier",171,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 6 do banco Banco Santander (Brasil) S.A.",369692311,6,"Ubiratã Marmou",172,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 15 do banco Banco Santander (Brasil) S.A.",269295123,4,"Levindo Duarte",173,"Transferência"
"Caixa Econômica Federal","Agência número 80 do banco Caixa Econômica Federal",342928300,2,"Natividade Maior",174,"Transferência"
"Caixa Econômica Federal","Agência número 66 do banco Caixa Econômica Federal",161410091,6,"Timóteo Álvarez",175,"Transferência"
"HSBC Bank Brasil S.A. - Banco Múltiplo","Agência número 10 do banco HSBC Bank Brasil S.A. - Banco Múltiplo",98305027,8,"Rudá Blanco",176,"Transferência"
"Caixa Econômica Federal","Agência número 90 do banco Caixa Econômica Federal",187035200,8,"Lúcio Villégas",177,"Transferência"
"Banco Itaú S.A.","Agência número 26 do banco Banco Itaú S.A.",256236972,0,"Gregório Pimienta",178,"Transferência"
"Caixa Econômica Federal","Agência número 66 do banco Caixa Econômica Federal",71561595,5,"Clara Lameira",179,"Transferência"
"Caixa Econômica Federal","Agência número 96 do banco Caixa Econômica Federal",140698307,8,"Borrás Monsanto",180,"Transferência"
"Citibank N.A.","Agência número 8 do banco Citibank N.A.",71822855,0,"Eloi Casqueira",181,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 18 do banco Banco Santander (Brasil) S.A.",432446013,5,"Albino Seixas",182,"Transferência"
"Caixa Econômica Federal","Agência número 2 do banco Caixa Econômica Federal",12457207,6,"Jaci Pirassununga",183,"Transferência"
"Caixa Econômica Federal","Agência número 12 do banco Caixa Econômica Federal",224859865,0,"Solano Alvim",184,"Transferência"
"Banco do Brasil S.A.","Agência número 6 do banco Banco do Brasil S.A.",193291495,2,"Juliano Rodrigues",185,"Transferência"
"Caixa Econômica Federal","Agência número 92 do banco Caixa Econômica Federal",89644267,0,"Eduardo Rua",186,"Transferência"
"Caixa Econômica Federal","Agência número 90 do banco Caixa Econômica Federal",296604792,5,"Gil Magalhães",187,"Transferência"
"Citibank N.A.","Agência número 14 do banco Citibank N.A.",389148864,1,"Minervina Castelão",188,"Transferência"
"Banco Itaú S.A.","Agência número 20 do banco Banco Itaú S.A.",346855259,7,"Gonçalo Jesus",189,"Transferência"
"Banco Itaú S.A.","Agência número 7 do banco Banco Itaú S.A.",15822670,1,"Célia Alancastre",190,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 2 do banco Banco Santander (Brasil) S.A.",152303325,3,"Mileide Semedo",191,"Transferência"
"Citibank N.A.","Agência número 10 do banco Citibank N.A.",397364750,0,"Emílio Macena",192,"Transferência"
"Banco do Brasil S.A.","Agência número 45 do banco Banco do Brasil S.A.",180159338,8,"Ema Butantã",193,"Transferência"
"Banco Bradesco S.A.","Agência número 28 do banco Banco Bradesco S.A.",211747031,3,"Augusto Ramires",194,"Transferência"
"Banco do Brasil S.A.","Agência número 42 do banco Banco do Brasil S.A.",57155380,2,"Constantino Guimaraes",195,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 26 do banco Banco Santander (Brasil) S.A.",253294089,0,"Roseli Bento",196,"Transferência"
"Caixa Econômica Federal","Agência número 66 do banco Caixa Econômica Federal",282349288,4,"Armando Valle",197,"Transferência"
"Banco Bradesco S.A.","Agência número 13 do banco Banco Bradesco S.A.",225866991,8,"Orestes Pegado",198,"Transferência"
"Caixa Econômica Federal","Agência número 40 do banco Caixa Econômica Federal",273600731,3,"Donato Lacerda",199,"Transferência"
"Banco do Brasil S.A.","Agência número 36 do banco Banco do Brasil S.A.",1943738,8,"Verónica Anlicoara",200,"Transferência"
"Caixa Econômica Federal","Agência número 34 do banco Caixa Econômica Federal",358212114,6,"Almor Camello",201,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 16 do banco Banco Santander (Brasil) S.A.",374955132,8,"Edgar Gallindo",202,"Transferência"
"Banco Bradesco S.A.","Agência número 22 do banco Banco Bradesco S.A.",4845451,3,"Adélia Viana",203,"Transferência"
"Caixa Econômica Federal","Agência número 19 do banco Caixa Econômica Federal",175233843,8,"Zita Caneira",204,"Transferência"
"Banco Itaú S.A.","Agência número 34 do banco Banco Itaú S.A.",270864881,8,"Juliano Rodrigues",205,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 5 do banco Banco Santander (Brasil) S.A.",229504949,1,"Adriano Cambezes",206,"Transferência"
"Citibank N.A.","Agência número 7 do banco Citibank N.A.",147843646,4,"Josias Viégas",207,"Transferência"
"Banco Bradesco S.A.","Agência número 14 do banco Banco Bradesco S.A.",115584880,1,"Alda Benavides",208,"Transferência"
"Caixa Econômica Federal","Agência número 4 do banco Caixa Econômica Federal",348850672,0,"Artur Olaio",209,"Transferência"
"Banco Votorantim S.A.","Agência número 6 do banco Banco Votorantim S.A.",423138683,5,"Jerónimo, Jerônimo Cantanhede",210,"Transferência"
"Banco Itaú S.A.","Agência número 14 do banco Banco Itaú S.A.",244883880,0,"Delfim Fiestas",211,"Transferência"
"Caixa Econômica Federal","Agência número 94 do banco Caixa Econômica Federal",290489730,3,"Polibe Rios",212,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 2 do banco Banco Santander (Brasil) S.A.",369267539,0,"Zubaida Barreto",213,"Transferência"
"Banco do Brasil S.A.","Agência número 35 do banco Banco do Brasil S.A.",106124891,2,"Silvério Bento",214,"Transferência"
"Caixa Econômica Federal","Agência número 93 do banco Caixa Econômica Federal",26894291,6,"Lineu Abasto",215,"Transferência"
"Banco Santander (Brasil) S.A.","Agência número 21 do banco Banco Santander (Brasil) S.A.",212102682,8,"Augusta Prada",216,"Transferência"
"Banco Panamericano S.A.","Agência número 5 do banco Banco Panamericano S.A.",252881626,2,"Girão Grillo",217,"Transferência"
